store_id,category,region,lag_7,lag_14,lag_28,rolling_mean_7,rolling_mean_28
S0021,GROCERIES,SOUTH,41,50,97,58.43,56.89
S0010,PHARMA,WEST,37,27,21,39.29,37.14
S0068,BEVERAGES,CENTRAL,46,63,72,59.14,63.39
S0113,DAIRY,SOUTH,73,70,33,60.14,56.86
S0003,GROCERIES,NORTH,66,46,45,70.29,68.25
S0074,PHARMA,WEST,41,40,60,28.86,32.5
S0088,GROCERIES,SOUTH,34,59,102,75.0,71.21
S0003,PHARMA,NORTH,34,46,34,34.0,37.18
S0033,DAIRY,NORTH,46,42,28,46.14,47.43
S0039,HOME_CARE,SOUTH,22,36,18,39.0,40.46
S0042,SNACKS,CENTRAL,73,73,52,61.71,63.64
S0037,GROCERIES,CENTRAL,36,56,52,74.0,69.25
S0072,PERSONAL_CARE,SOUTH,29,73,31,46.14,49.25
S0079,PHARMA,SOUTH,68,56,93,47.29,52.61
S0112,PHARMA,NORTH,32,25,51,47.57,36.57
S0005,DAIRY,CENTRAL,64,53,28,52.86,56.43
S0106,PERSONAL_CARE,WEST,67,39,74,60.29,56.86
S0107,HOME_CARE,WEST,47,25,49,51.0,45.25
S0072,HOME_CARE,SOUTH,57,41,24,45.43,42.11
S0113,BEVERAGES,SOUTH,95,34,106,64.71,63.5
S0054,DAIRY,NORTH,35,32,41,44.86,44.68
S0019,HOME_CARE,WEST,57,46,61,42.0,45.71
S0117,DAIRY,EAST,71,68,48,57.29,64.25
S0001,PERSONAL_CARE,WEST,67,55,54,39.86,49.29
S0067,BEVERAGES,SOUTH,180,96,38,75.86,75.07
S0002,DAIRY,NORTH,34,53,42,63.43,53.86
S0033,SNACKS,NORTH,50,118,39,50.0,59.43
S0113,PERSONAL_CARE,SOUTH,33,38,52,62.86,49.93
S0042,PHARMA,CENTRAL,63,14,40,41.57,38.57
S0019,PHARMA,WEST,56,46,76,39.14,44.86
S0024,BEVERAGES,SOUTH,73,60,98,45.86,57.64
S0017,GROCERIES,SOUTH,75,71,121,86.71,66.79
S0026,PERSONAL_CARE,NORTH,99,29,35,61.71,51.18
S0048,PHARMA,CENTRAL,37,32,50,45.29,36.79
S0070,PHARMA,SOUTH,38,41,25,62.71,50.96
S0014,DAIRY,EAST,83,45,57,67.0,63.36
S0047,BEVERAGES,NORTH,104,89,136,71.14,74.39
S0109,HOME_CARE,NORTH,74,57,33,42.14,49.75
S0060,PHARMA,SOUTH,23,47,32,35.57,42.32
S0024,GROCERIES,SOUTH,61,43,74,59.71,60.64
S0031,GROCERIES,CENTRAL,34,49,43,59.57,52.68
S0115,PHARMA,CENTRAL,21,41,37,36.86,34.11
S0091,PERSONAL_CARE,EAST,82,56,33,49.43,52.43
S0035,PERSONAL_CARE,SOUTH,39,41,43,54.71,44.25
S0039,BEVERAGES,SOUTH,41,85,70,49.43,60.46
S0071,BEVERAGES,EAST,47,80,73,85.71,77.61
S0096,GROCERIES,EAST,47,105,101,64.29,80.21
S0040,GROCERIES,NORTH,107,107,54,64.86,66.07
S0081,HOME_CARE,WEST,41,36,31,40.14,35.14
S0092,HOME_CARE,WEST,42,57,44,41.14,51.0
S0054,HOME_CARE,NORTH,44,50,29,39.0,41.61
S0101,SNACKS,CENTRAL,48,47,66,57.29,59.68
S0002,BEVERAGES,NORTH,66,32,70,87.29,67.07
S0029,PHARMA,CENTRAL,28,25,35,36.86,39.82
S0054,SNACKS,NORTH,58,65,57,41.57,51.29
S0089,GROCERIES,NORTH,76,68,108,70.0,77.86
S0101,GROCERIES,CENTRAL,90,61,63,74.43,71.82
S0076,PHARMA,WEST,74,49,42,35.57,41.96
S0076,BEVERAGES,WEST,44,39,43,47.0,57.89
S0078,DAIRY,NORTH,54,69,79,51.0,59.89
S0101,HOME_CARE,CENTRAL,32,26,39,30.43,42.54
S0047,PHARMA,NORTH,54,55,34,39.57,40.79
S0053,PERSONAL_CARE,EAST,54,26,16,43.43,46.07
S0077,BEVERAGES,NORTH,32,54,66,60.14,59.29
S0062,BEVERAGES,SOUTH,31,69,52,67.86,57.0
S0094,HOME_CARE,SOUTH,60,48,37,43.71,47.04
S0033,PHARMA,NORTH,27,35,47,51.29,42.64
S0001,GROCERIES,WEST,113,53,57,76.71,65.61
S0102,GROCERIES,SOUTH,100,87,93,66.71,64.46
S0017,DAIRY,SOUTH,54,147,60,60.71,55.71
S0096,PERSONAL_CARE,EAST,49,42,73,47.29,63.14
S0009,HOME_CARE,NORTH,90,75,67,44.0,48.36
S0083,BEVERAGES,SOUTH,49,68,75,88.71,67.96
S0105,DAIRY,NORTH,40,52,45,53.86,53.11
S0005,PHARMA,CENTRAL,33,34,19,45.0,43.89
S0033,GROCERIES,NORTH,81,66,68,55.86,73.14
S0039,GROCERIES,SOUTH,83,53,88,62.43,66.43
S0073,BEVERAGES,CENTRAL,19,48,38,61.0,56.46
S0062,SNACKS,SOUTH,118,44,41,45.0,46.75
S0007,PERSONAL_CARE,EAST,54,59,22,51.14,52.29
S0072,GROCERIES,SOUTH,61,92,79,69.29,73.25
S0054,PHARMA,NORTH,23,27,55,49.0,38.0
S0043,DAIRY,SOUTH,57,50,61,32.86,44.5
S0056,PERSONAL_CARE,CENTRAL,51,53,60,42.86,45.18
S0032,BEVERAGES,EAST,68,56,47,55.86,53.71
S0080,GROCERIES,EAST,125,94,81,74.57,79.29
S0044,BEVERAGES,CENTRAL,79,63,87,56.86,61.46
S0067,SNACKS,SOUTH,55,57,63,75.0,70.82
S0082,HOME_CARE,EAST,34,28,65,37.57,35.14
S0012,PERSONAL_CARE,CENTRAL,32,78,36,59.29,54.36
S0035,BEVERAGES,SOUTH,97,29,53,49.0,49.54
S0083,DAIRY,SOUTH,75,41,68,67.0,61.18
S0028,BEVERAGES,NORTH,56,29,52,37.29,48.21
S0025,PERSONAL_CARE,SOUTH,59,86,21,45.29,47.68
S0026,BEVERAGES,NORTH,68,48,93,59.43,62.21
S0099,PHARMA,NORTH,59,100,23,42.14,49.46
S0065,PERSONAL_CARE,SOUTH,16,49,48,55.14,47.25
S0089,DAIRY,NORTH,49,50,79,79.71,60.57
S0116,HOME_CARE,SOUTH,27,46,78,34.71,41.79
S0081,PERSONAL_CARE,WEST,30,25,45,42.14,37.25
S0048,HOME_CARE,CENTRAL,41,44,49,46.29,42.86
S0070,GROCERIES,SOUTH,95,38,148,83.86,77.11
S0108,GROCERIES,SOUTH,43,97,56,70.29,76.07
S0098,PHARMA,WEST,28,15,24,32.0,36.25
S0003,DAIRY,NORTH,30,117,24,59.14,51.32
S0046,GROCERIES,NORTH,42,93,53,73.29,66.86
S0117,SNACKS,EAST,25,61,75,69.0,59.14
S0012,BEVERAGES,CENTRAL,84,36,37,60.86,62.39
S0014,BEVERAGES,EAST,56,122,37,72.71,76.32
S0104,SNACKS,WEST,47,32,47,61.57,55.89
S0046,DAIRY,NORTH,43,76,33,61.86,56.18
S0087,PERSONAL_CARE,CENTRAL,72,25,55,82.57,67.14
S0115,HOME_CARE,CENTRAL,16,39,71,40.86,35.39
S0025,PHARMA,SOUTH,36,46,64,39.71,36.75
S0111,PHARMA,NORTH,27,41,32,29.71,32.86
